ID,tip_R,specimen_thickness,tip_E,tip_nu,specimen_E,specimen_nu,yield_stress,specimen_n,indentation_depth,number_of_used_CPUs,Save_ODB
7700,0.265,90,1140000,0.07,16113.0,0.3,37.98,0.487,0.23,12,1
7701,0.851,90,1140000,0.07,14023.4,0.3,33.88,0.473,0.23,12,1
