ID,tip_r,indentation_depth,specimen_E,specimen_n,yield_stress,slope,slope_2,slope_3,work_total,work_elastic,work_plastic,work_ratio,curvature,curvature_linear,curvature_shift,h_ratio,norm_curvature,norm_curvature_linear,norm_curvature_shift,norm_slope,curvature_200,curvature_200_norm,curvature_200_norm_linear,curvature_200_norm_shift,work_total_trapz,work_elastic_trapz,work_plastic_trapz,work_ratio_trapz,alpha,exp,alpha_norm,exp_norm
77000,0.6,0.23,10781.2,0.265,26.73,18127.309782608707,17656.173511173503,18125.296442687468,27.334283194200005,3.096900014261493,24.23738317993851,0.8867027171607479,4508.274959992114,356.5390978346432,1.5650621156374966,0.09300000000000007,0.7261271368288242,0.24967876224041954,0.004765167026267437,12.695829991513412,4430.709378545548,0.6897969220365108,0.2914492092878678,0.004880780409416535,27.334283194200005,-3.096900014261493,30.431183208461494,1.113297282839252,4.527938213173496,1.9209035838028192e-07,0.9660691442452009,1.619356850211648
77001,0.871,0.23,8158.8,0.199,303.51,11353.806169107966,10622.6454034749,11358.33429439124,86.127096901,44.99594687754365,41.13115002345635,0.4775634092338573,11142.151042012556,1669.0779825003074,-4.305232706314888,0.4730000000000001,0.6065050390119778,0.3950155207769047,-0.004430025893014106,2.6720753670500037,10782.591909272172,0.5583097027759496,0.4542582125764851,-0.008436122794826825,86.127096901,-44.99594687754365,131.12304377854366,1.5224365907661428,4.56637817880119,2.250718110197045e-07,0.9825128707951529,1.4973436446505664
77002,0.73,0.23,8921.8,0.325,31.83,14841.599683351536,13840.279770530433,14840.068201193515,33.81023343390001,5.531523699759323,28.27870973414069,0.8363949864299632,5021.198723318872,532.6754181706247,1.0519827868013727,0.13800000000000007,0.6791788380173223,0.31326477890643617,0.002689858496564253,8.514297470604427,4874.960965206226,0.6206120069582923,0.3577662076334908,0.0016375910366578784,33.81023343390001,-5.531523699759323,39.341757133659335,1.1636050135700369,4.527800420807223,9.521382466171732e-08,0.9794708327552091,1.5570745872910747
77003,0.895,0.23,8308.3,0.125,763.11,9856.999816939306,8970.65789125154,10165.888643342529,110.514414604,87.0854385818005,23.42897602219949,0.21199927725402345,14037.376722164829,2262.7530318276977,-14.808511085805804,0.728,0.5952666095008581,0.4171909440198545,-0.011870833392446229,1.8056733798194196,13747.430257559576,0.5491959247521504,0.4687410086749753,-0.017465514273870563,110.514414604,-87.0854385818005,197.59985318580053,1.7880007227459769,4.0912270970375815,7.555629185364787e-07,0.9885084467973609,1.5072946136580627
77004,0.273,0.23,14250.5,0.057,44.95,25370.88661551583,24164.208762252245,25369.56521739041,22.309268629900004,1.6544234396998976,20.654845190200106,0.9258414308803222,4514.579750184964,174.21183996912032,0.1132462353486066,0.060000000000000026,0.8498254084790478,0.1425808582835606,0.0004030485344437228,20.764700405184897,4663.602063194119,0.8336616061615667,0.1326500916099309,0.0041751891987219505,22.309268629900004,-1.6544234396998976,23.9636920695999,1.0741585691196778,4.576201485030138,9.17689585315059e-08,0.9842165588379108,1.7847269666958983
77005,0.83,0.23,13958.4,0.368,439.96,18544.17977004609,17263.992727431967,18944.17214469684,143.87373015600002,77.94615348271655,65.92757667328347,0.4582322054331895,19377.308273233048,2671.9564843473913,-7.227560792030945,0.49,0.6271971174646617,0.3760210418302463,-0.004422284271740265,2.5952737485972617,18856.87821533484,0.5805893760861706,0.4306109926751288,-0.00800813079416488,143.87373015600002,-77.94615348271655,221.8198836387166,1.541767794566811,4.242612058133822,1.253285680296612e-07,0.9845389930697668,1.5190350179804297
77006,0.303,0.23,8596.9,0.25,25.03,13309.257246376808,13074.408685223896,13307.905138339707,19.033588560100004,2.240692156973865,16.79289640312614,0.882276946887934,3913.5139397776293,132.56475167523385,0.870899124147881,0.09300000000000007,0.8623881021696037,0.1270094665478276,0.0036278394973154725,12.752143505342273,3870.083347676901,0.8359865502648657,0.15313153201603566,0.0037783553483405415,19.033588560100004,-2.240692156973865,21.274280717073868,1.117723053112066,4.55253337817846,1.5660380282479265e-07,0.984260333753435,1.7921220653425325
77007,0.746,0.23,7013.2,0.193,32.51,11922.259253648388,11703.284002598002,11921.739130434782,25.178239600800012,3.5514240882067667,21.626815512593247,0.8589486737550179,3738.028673691542,390.9802732762847,1.4433199784614257,0.12300000000000005,0.6910470133967104,0.3142620539098335,0.005043967096192658,9.583268529964672,3520.3320864781817,0.6276827543083268,0.38510806818638776,0.0024309093876111465,25.178239600800012,-3.5514240882067667,28.729663689006767,1.141051326244982,4.479335314681619,6.030502631664621e-09,0.9936033741589471,1.5509414500809269
77008,0.8220000000000001,0.23,12107.1,0.281,408.35,16818.215143765032,15337.718617938805,17401.73365162604,123.39014371100001,65.0572727474935,58.33287096350651,0.4727514630352622,16588.0408964805,2290.310703116504,-5.495880830025816,0.4730000000000001,0.6230438148223618,0.3740158860638787,-0.0039021591405545134,2.6584366159532693,16049.53997978426,0.5753013583147105,0.4322736821126307,-0.007640073115710441,123.39014371100001,-65.0572727474935,188.4474164584935,1.5272485369647375,4.158717538744412,1.2473522822564928e-07,0.9787849047445379,1.516683560031208
77009,0.66,0.23,8210.0,0.131,37.43,15040.661231884047,14305.24630706038,15036.495388669038,25.105854996700007,3.1584084356996205,21.947446561000387,0.8741963404108416,3907.9157568877363,362.66833535125886,1.433798253979375,0.105,0.6912548454542784,0.27891685752165696,0.004794305603601046,11.451838981489908,3835.1507215191577,0.6734089550203051,0.3334134781050839,0.005008286616300909,25.105854996700007,-3.1584084356996205,28.264263432399627,1.1258036595891583,4.494440515611224,2.2355988904007693e-07,0.959517165216402,1.5807401047912488
