ID,tip_r,indentation_depth,specimen_E,specimen_n,yield_stress,slope,slope_2,slope_3,work_total,work_elastic,work_plastic,work_ratio,curvature,curvature_linear,curvature_shift,h_ratio,norm_curvature,norm_curvature_linear,norm_curvature_shift,norm_slope,curvature_200,curvature_200_norm,curvature_200_norm_linear,curvature_200_norm_shift,work_total_trapz,work_elastic_trapz,work_plastic_trapz,work_ratio_trapz,alpha,exp,alpha_norm,exp_norm
7714,0.41,0.23,68414.0,0.409,253.33,38073.63253856941,37006.173384739035,38116.33161913658,181.112497867,65.8298556970009,115.28264216999912,0.6365250522614786,32611.094641969146,2199.528936339777,-18.634595728331316,0.28600000000000003,0.7860995405731709,0.23052287977481845,-0.008491347715213409,3.965893858283565,34125.87652940751,0.7876919991717658,0.2277677232818573,-0.0075598809606496455,181.112497867,-65.8298556970009,246.94235356400088,1.3634749477385213,4.4405002421423765,1.6448404388234546e-06,0.9992023386047236,1.7137723974452197
7715,0.821,0.23,54575.5,0.3,253.75,31613.686989522328,30812.261451795537,31789.543400342787,153.30547164700002,52.43064998710005,100.87482165989996,0.6579988344589132,23877.175255475908,2355.3827983032793,-7.5852823749954625,0.28600000000000003,0.7058410595463033,0.30273151028640954,-0.004238771123644893,4.037452330792791,24942.310298108856,0.7012733143790894,0.3094923588833278,-0.0022274345075654627,153.30547164700002,-52.43064998710005,205.73612163410007,1.3420011655410868,4.311736063917514,7.226458318367196e-08,0.9915241036644776,1.6039716176803374
7716,0.7609999999999999,0.23,64715.2,0.448,672.93,34120.45623132075,32813.615857955374,34290.647758039064,270.72282158,145.49212216601828,125.23069941398174,0.46257902707687104,37742.86498119232,4945.063521149943,-26.385493592281236,0.456,0.6491311362006852,0.3697784707684434,-0.008578417385593767,2.534447271003911,40092.79837139172,0.6450996524701125,0.3708465347490591,-0.007061300769934772,270.72282158,-145.49212216601828,416.2149437460183,1.5374209729231292,4.461762987925441,9.971443286609407e-07,0.9976527311340128,1.5484722254668544
7717,0.361,0.23,54603.5,0.099,674.29,30737.40086202936,30017.085015752327,30770.309439874676,170.72155087500005,70.47015858319995,100.25139229180006,0.5872216587652882,29531.416120042697,2300.8818834637123,-22.578121562503267,0.337,0.7634586156380248,0.2586233322326429,-0.0110340082475819,3.445023795823136,31286.982148438918,0.7682254859520357,0.2499735170739765,-0.009953267306004264,170.72155087500005,-70.47015858319995,241.1917094582,1.4127783412347117,4.410784334403848,1.6190383846487606e-10,1.0020720617816579,1.6907841869788054
7718,0.732,0.23,56785.5,0.062,648.49,32985.74134371873,32340.444350523663,33120.107063585354,184.9214936430001,71.64192844200008,113.279565201,0.6125819285220121,28168.1559981981,2978.394793351657,-13.832294399949618,0.32,0.6965406349824848,0.3202155884122962,-0.006465864560328725,3.53662601399512,29645.21519486853,0.6903830952584479,0.3217684945277146,-0.004644529329205227,184.9214936430001,-71.64192844200008,256.5634220850002,1.387418071477988,4.382676435030182,1.5333790232504154e-07,0.9978454458336088,1.595494742306074
7720,0.952,0.23,59963.6,0.271,1198.05,31644.190881658407,30546.925545990078,31912.11805410812,286.65827330100007,165.7561246601,120.90214864090008,0.4217640302115023,35454.590635025896,5863.145441552257,-21.409674735205808,0.507,0.5916554684756983,0.425401723311499,-0.006753841502277233,2.282424472530772,37822.455224223566,0.5849533725327141,0.4277261079613904,-0.0046476316952768215,286.65827330100007,-165.7561246601,452.41439796110006,1.5782359697884978,4.4410390974275264,2.53116961888913e-10,0.9961626303008392,1.4803865284187747
7721,0.08900000000000001,0.23,70032.8,0.271,1233.66,36285.24839184688,34880.33698496107,36408.55533771568,255.32364107900003,139.45583176820006,115.8678093108,0.4538076020737507,46132.02098259922,3281.8389356848434,-49.57508253523379,0.439,0.7860162348910742,0.2431187566523857,-0.015967495976734747,2.662067908594526,49398.90112147648,0.8027729837139262,0.2261738800052153,-0.015624378665835341,255.32364107900003,-139.45583176820006,394.7794728472001,1.5461923979262493,4.559075152074085,2.4839562068659138e-06,1.006480288272354,1.733444973325184
7722,0.868,0.23,68901.0,0.152,1068.76,37962.46764318378,37069.545571886585,38079.475338838194,279.264756574,135.17747109600808,144.08728547799197,0.5159522714059749,38051.83095711192,5173.677637610059,-20.278664554960145,0.405,0.6392219454035122,0.3778745479665943,-0.0064396124867156426,2.7662592711144205,40376.34669284562,0.6328491757742288,0.3793559923187912,-0.004302416311624313,279.264756574,-135.17747109600808,414.44222767000815,1.4840477285940252,4.455995397443128,6.361286005911261e-07,0.997023253521265,1.5302088821835644
7723,0.227,0.23,66563.6,0.253,1097.93,34801.507401379546,33702.84848023479,34848.74870257172,245.1697109270001,129.04755787800013,116.12215304899996,0.473639882389777,42271.293263132815,3410.5446268459627,-42.119957198723114,0.42200000000000004,0.7614944879844234,0.2671265985666378,-0.014343445840421016,2.7197377701016365,45084.61652450793,0.7707893970578196,0.2554041480495348,-0.013894341570211041,245.1697109270001,-129.04755787800013,374.2172688050002,1.5263601176102233,4.526498183928928,8.446644185575736e-07,1.0062263802009448,1.6962246068489015
7724,0.298,0.23,61975.3,0.042,2195.32,31360.527751391484,30364.71251628972,31432.409298706334,270.72331513700004,167.70193207300028,103.02138306399976,0.38054122901038495,42783.80456028591,4376.560906682187,-48.721109583337366,0.507,0.7125739942262778,0.3169244182400966,-0.015339529520066859,2.262558743528733,46037.845907002265,0.7220923812657843,0.3052538348439186,-0.014744554881061194,270.72331513700004,-167.70193207300028,438.4252472100003,1.6194587709896149,4.520012597412889,7.044567645233604e-07,1.0050758125123926,1.6404185088544287
7725,0.7959999999999999,0.23,67718.8,0.085,2373.73,34794.77221435132,33483.37946042096,34974.56391564697,340.60120492,216.56108564800263,124.04011927199731,0.3641799191553997,43281.018344133634,6864.222803159684,-33.710815837864324,0.5409999999999999,0.6033509128182799,0.416040908336612,-0.008883540070033944,2.094379501275744,46364.08435580156,0.6005805022949466,0.4163002266328533,-0.007135643057156527,340.60120492,-216.56108564800263,557.1622905680026,1.6358200808446002,4.478753949450834,1.1599196800361375e-06,0.9972662155698544,1.4994994895398084
7726,0.767,0.23,70444.8,0.115,2040.38,36725.4353739161,35401.898784435085,36759.61760251227,336.315874429,202.47038630201337,133.84548812698662,0.3979755292676288,44290.59399581257,6544.589085684794,-33.582129414713165,0.507,0.6208045963213451,0.398839321119676,-0.008898073485142745,2.227482703711148,47295.905960575554,0.6174199867106792,0.39931470870793456,-0.007265528770811717,336.315874429,-202.47038630201337,538.7862607310134,1.6020244707323712,4.4865873761743895,1.814966870793809e-06,0.9977233519281056,1.5181032489052315
7727,0.282,0.23,65676.5,0.336,2107.16,31976.52136028992,30358.360967057924,32169.09875900375,302.231215812,207.13339355999975,95.09782225200024,0.31465254836930845,47072.726670136115,5012.474650197583,-56.867971939520146,0.575,0.7044164186451906,0.32612527312153744,-0.016086891606348148,2.0646967463154224,50771.202961793395,0.7141961589331267,0.3139144748521832,-0.015594961014672002,302.231215812,-207.13339355999975,509.3646093719998,1.6853474516306914,4.539030454424191,1.847685465541891e-06,1.0054230727462354,1.63302636175172
7729,0.172,0.23,107042.0,0.382,672.01,57351.833880143,55808.375627403184,57440.76250163211,308.13066562600005,130.21329691599993,177.91736871000012,0.5774088351399305,58552.37375627278,3394.9227094062285,-45.214698867758244,0.337,0.8172247070981952,0.2060150935652486,-0.01192946482596986,3.4714753816388857,61702.479084818304,0.8286165188215481,0.19582224172931514,-0.011520457390175263,308.13066562600005,-130.21329691599993,438.343962542,1.4225911648600695,4.594291159481687,2.842186141561941e-08,1.0045457194675538,1.7622190521789751
7730,0.759,0.23,106322.9,0.371,575.85,59228.487404997555,57567.784150259715,59246.25930278107,338.3394983100001,136.26825308800008,202.07124522200002,0.5972440292408729,52222.0122013142,5334.9482512184195,-24.044179481963486,0.337,0.7012334977830883,0.3114665687602414,-0.00610328217527595,3.4425445635362686,54654.9367292564,0.6973014948576272,0.31822520832988505,-0.004668159539645691,338.3394983100001,-136.26825308800008,474.6077513980002,1.4027559707591268,4.529050185511114,4.591574380493673e-08,0.9942649226589478,1.6029045116793952
7731,0.772,0.23,119427.6,0.218,505.09,70300.76083336952,68729.82846497625,70491.79417259987,282.59325429000006,81.53884672699995,201.0544075630001,0.7114621616433775,46648.57168842422,3921.9450588629893,-11.723764983370133,0.23500000000000004,0.7397476704484041,0.270407609563334,-0.003514442621330768,4.835907708500287,48321.882082199314,0.7287910102363029,0.27771647381289266,-0.0018015939893534227,282.59325429000006,-81.53884672699995,364.13210101699997,1.2885378383566226,4.5122958328177045,1.8988616841685928e-07,0.9944701313107944,1.6403320616336998
7732,0.606,0.23,108892.8,0.192,1732.27,58758.18724327678,56729.888466887714,58800.397877983916,423.34725451000014,213.67513879800012,209.67211571200002,0.4952721754501121,64007.608007951036,7029.650433172451,-47.3234237720923,0.42200000000000004,0.6900899928140473,0.3295186706675939,-0.009644831200936134,2.7374191529692995,68045.74888355142,0.6919072065866287,0.3273589018427588,-0.008228097909950095,423.34725451000014,-213.67513879800012,637.0223933080001,1.5047278245498878,4.563785738653587,6.097149319533605e-06,0.9985019129458408,1.5988193447079966
7733,1.0,0.23,96438.9,0.119,1922.37,52511.148703118844,50971.9699587625,52616.568214394334,432.9833591200001,228.83234704,204.15101208000004,0.4714985178527848,54741.785744346584,8612.553198921172,-25.170903190465538,0.456,0.602263704229669,0.4119758936693173,-0.005234928055681678,2.500702765832968,57988.36348498677,0.5930705548871521,0.4173370505932322,-0.003046797964568725,432.9833591200001,-228.83234704,661.81570616,1.5285014821472152,4.502266469935637,9.532044579340043e-08,0.994452216891512,1.48748502795377
7734,0.198,0.23,116514.0,0.324,1762.88,60015.17554057199,57774.37603065612,60213.845000576526,428.0193994380001,232.72481247365792,195.29458696434224,0.4562750829069168,75065.61436553237,5775.988992518051,-75.14771435635458,0.439,0.7698022498129657,0.25753522785462185,-0.01456794197542484,2.6589355158564882,80198.6342032778,0.7831064439692238,0.24404380838583364,-0.014024884142471852,428.0193994380001,-232.72481247365792,660.744211911658,1.5437249170930831,4.619572977889719,1.3412286782563277e-06,1.0051042751958563,1.7087649495727597
7735,0.211,0.23,119762.6,0.464,1998.19,59246.76642514978,56248.56915882291,59562.460572206706,484.52247393700014,300.13526426807994,184.38720966892012,0.3805545038410232,82053.53744621223,7020.165957947384,-89.42110134012596,0.507,0.7503084799867804,0.27910145683220394,-0.015457061704406371,2.334337039978581,88083.57556822078,0.7628138939159251,0.26455929085945235,-0.014877274757268263,484.52247393700014,-300.13526426807994,784.6577382050799,1.6194454961589768,4.623269927680996,2.886280550856733e-06,1.0059385823615978,1.6864284150706736
